aboveboard	above-board
aboveground	above-ground
abovementioned	abovementioned
acoustoelectric	acousto-electric
addlebrained	addle-brained
addleheaded	addle-headed
addlepated	addle-pated
adman	ad-man
africanamerican	African American
afterall	afterall
afterclap	after-clap
afterdamp	after-damp
aftereffect	after-effect
afterguard	after-guard
afterimage	after-image
afterlife	after-life
afterschool	afterschool
aftertax	after-tax
airbed	air bed
airconditioned	air conditioned
airconditioner	air-conditioner
airconditioning	air-conditioning
airdrop	air-drop
airgun	airgun
airhole	airhole
airlock	air-lock
airmail	air mail
airpower	airpower
airshaft	airshaft
airshot	air shot
airshow	air show
airspace	air space
airspeed	air speed
airstrike	air strike
airtrafficcontrol	air traffic control
ala	ala
alackaday	alack-a-day
alderfly	alder-fly
alehouse	ale-house
alfresco	al fresco
allclear	all clear
allin	all-in
allover	all-over
allsorts	all-sorts
almshouse	alms-house
almsman	alms-man
almswoman	alms-woman
aluminosilicate	alumino-silicate
alumroot	alum-root
amazonstone	amazon-stone
ambsace	ambs-ace
amesace	ames-ace
amourpropre	amour-propre
angelfish	angel-fish
angleworm	angle-worm
answerback	answer back
antbear	antbear
antbird	ant-bird
anteater	ant-eater
antebellum	ante-bellum
antemortem	ante mortem
anthill	ant-hill
antiabortion	anti-abortion
antiaircraft	anti-aircraft
antichoice	antichoice
antiestablishment	anti-establishment
antifederalism	anti-federalism
antifederalist	anti-federalist
antihero	anti-hero
antilock	anti-lock
antimatter	anti-matter
antinational	anti-national
antinovel	anti-novel
antipersonnel	anti-personnel
antipredator	anti-predator
antiroll	anti-roll
antitank	anti-tank
antitrust	anti-trust
antivitamin	anti-vitamin
antlion	antlion
anymore	any more
apelike	ape-like
apeman	apeman
apeshit	ape shit
applejack	apple-jack
applesauce	apple sauce
aquafortis	aquafortis
aquaregia	aqua-regia
aquiver	a-quiver
archenemy	arch-enemy
archerfish	archer-fish
archfiend	arch-fiend
archpriest	arch-priest
armyworm	army worm
arthouse	arthouse
artilleryman	artillery-man
ashcan	ash-can
ashplant	ash-plant
ashtray	ash-tray
athome	at-home
atrisk	at-risk
attorneygeneral	attorney-general
audiobook	audiobook
audiovisual	audio-visual
autoimmunity	auto-immunity
autointoxication	auto-intoxication
autosuggestion	auto-suggestion
aweather	a-weather
aweigh	a-weigh
axletree	axle-tree
babydoll	baby doll
babysit	baby-sit
babysitter	baby sitter
babysitting	baby-sitting
babytalk	babytalk
backbench	back-bench
backblock	back-block
backburner	backburner
backcloth	back-cloth
backcountry	back country
backdoor	back-door
backlight	back light
backlighting	back-lighting
backload	back-load
backseatdriver	backseat driver
backstreet	back street
backtalk	backtalk
backup	back-up
backyard	back yard
baldhead	bald-head
baldheaded	bald-headed
balefire	bale-fire
ballboy	ballboy
ballcock	ball cock
ballflower	ball-flower
ballgirl	ball girl
ballpark	ball park
ballpoint	ball-point
ballroom	ball-room
bandaid	bandaid
bandbox	band-box
bandsaw	bandsaw
bandylegged	bandylegged
bangtail	bang-tail
bankbook	bank-book
bantamweight	bantam-weight
barbell	bar-bell
barbershop	barber-shop
barebones	bare bones
bareknuckle	bareknuckle
bareknuckled	bareknuckled
bargainbasement	bargain basement
barklouse	bark louse
barrelhouse	barrel-house
barroom	bar-room
baseborn	base-born
baseline	base line
baserunner	baserunner
bashibazouk	bashi-bazouk
bathmat	bath mat
bathwater	bath water
battlecruiser	battlecruiser
bawdyhouse	bawdy-house
bb	B&B
beachball	beachball
beachboy	beach boy
beadroll	bead-roll
beanbag	bean-bag
beansprout	bean sprout
bearbaiting	bear-baiting
bearberry	bear-berry
bearcat	bear-cat
bearhug	bearhug
bedandbreakfast	bed-and-breakfast
bedlinen	bedlinen
bedplate	bed-plate
bedroll	bed-roll
bedsheet	bed sheet
bedsitter	bed-sitter
bedwetter	bedwetter
bedwetting	bedwetting
beebread	bee-bread
beechdrops	beech-drops
beefwood	beef-wood
beermat	beermat
behindhand	behind-hand
bellbird	bell-bird
bellbottom	bellbottom
bellbottomed	bellbottomed
bellbottoms	bell bottoms
bellboy	bell-boy
belleslettres	belles lettres
bellflower	bell-flower
bellhop	bell-hop
bellpull	bellpull
bellpush	bellpush
bellyband	belly-band
bellybutton	belly-button
bellyflop	bellyflop
benchmark	bench mark
benchpress	bench-press
bentgrass	bent-grass
bestseller	best seller
betacarotene	betacarotene
betelnut	betelnut
bigbangtheory	big-bang theory
bigheaded	bigheaded
bighearted	big-hearted
bigleague	big league
bigmouth	big mouth
bigmouthed	big-mouthed
bigname	big-name
bigshot	bigshot
bigstick	bigstick
bigticket	big ticket
bigtime	bigtime
bilgewater	bilgewater
billycan	billy-can
birdbrained	bird-brained
birdlife	bird life
birdlime	bird-lime
birdshot	bird shot
birdsong	bird song
birdwatcher	bird-watcher
birdwatching	birdwatching
birthdate	birthdate
